vin,car_make,car_year,car_color,value,state
WVGAV3AX8EW908201,Lexus,2008,Pink,53006.22,North Carolina
5XYKT3A1XDG002055,Volkswagen,1996,Pink,57663.20,Illinois
JM1NC2NFXE0854751,Ford,2010,Goldenrod,65252.53,West Virginia
WAUWG74F59N298541,Suzuki,1994,Red,64609.91,California
WBAUC73538V694543,Mazda,1988,Teal,70466.26,Pennsylvania
1FMCU0F79EU042102,Toyota,1994,Turquoise,55159.01,Tennessee
19UUA662X6A082964,Mercedes-Benz,2012,Puce,68465.73,Pennsylvania
3C4PDCAB2CT493952,Dodge,2011,Blue,31429.72,Florida
WAUDF98E26A287605,Mitsubishi,1999,Violet,39942.24,Missouri
5UXKS4C53E0569173,Chrysler,2001,Yellow,78293.61,California
WP0AB2A94AS375855,Lincoln,2011,Green,65780.45,Nevada
1D4PU2GK9BW004640,Ford,1993,Khaki,42092.48,Texas
5N1AN0NW8FN371272,Honda,2003,Maroon,58588.54,Florida
5NPEB4AC1CH676092,Mazda,2011,Red,45812.31,Alabama
1FTWX3B50AE902682,Chevrolet,2002,Orange,26226.76,Kentucky
1FM5K7B89EG731254,Mazda,2010,Yellow,68732.75,Nebraska
JH4NA12674T556108,Lexus,2008,Maroon,21385.71,California
WAUNE78PX8A647381,Isuzu,1997,Indigo,43907.32,South Carolina
JN1CV6AP2CM304430,Ford,1984,Violet,47604.87,Pennsylvania
3GYFNEE39CS353808,Mitsubishi,1989,Fuscia,43940.11,California
WBAGL63454D687740,Ford,2009,Purple,59574.39,Missouri
SCBZB25E22C221038,Pontiac,1997,Yellow,79470.52,New Mexico
5UXFA93586L806189,Mitsubishi,1994,Maroon,68632.94,Texas
WBXPC93487W271617,Mazda,2009,Indigo,58061.10,New Hampshire
1G6DH577380377611,Chevrolet,2006,Fuscia,51006.25,New York
WAUAFAFL9DA703006,Subaru,1987,Fuscia,29459.05,Nebraska
19XFA1E5XBE087272,Dodge,1999,Violet,74948.86,Florida
1FTKR1AD7BP767485,MINI,2006,Violet,76645.05,Louisiana
JTDKN3DU2F0408159,Nissan,2010,Green,72358.92,Pennsylvania
KNAFU6A23B5679718,Toyota,2001,Purple,51195.50,New York
1G6DE8EG3A0650923,Volkswagen,1990,Turquoise,21990.01,Florida
WAUJC58E54A940963,Porsche,2007,Pink,76974.08,Texas
5UXFA53562L068489,Lexus,1999,Purple,55398.18,Nebraska
1G6KS54Y72U504530,Saturn,1992,Khaki,76212.30,Louisiana
KMHTC6AD6DU458967,Land Rover,2009,Goldenrod,43295.70,Illinois
1GKS1GEJ2CR137963,Mercedes-Benz,2008,Green,28747.73,Missouri
5FRYD3H61GB270379,Mitsubishi,2012,Red,43263.35,Illinois
5N1AA0ND4FN638983,Mazda,1997,Goldenrod,63528.79,Kentucky
1N6AF0KY4EN581810,Oldsmobile,1997,Green,20088.10,Michigan
JTDZN3EU2E3629996,Cadillac,2009,Goldenrod,61280.73,Massachusetts
WAUJFAFH5BN861876,Suzuki,2006,Crimson,70360.21,North Carolina
3D4PG1FG5BT290717,Volvo,2013,Red,48745.74,Kentucky
1FTNX2A5XAE504788,Hummer,2006,Blue,31911.95,Louisiana
2T1BU4EE4DC745919,Saab,2006,Mauv,77246.84,Florida
JN8AZ2KR3AT423404,Volkswagen,1993,Mauv,74954.11,California
WBY2Z2C51FV844902,Isuzu,2009,Blue,51940.40,Florida
WBAPH5G51BN088095,Hyundai,2003,Goldenrod,33862.35,California
WAUDGAFLXDA267941,Ford,2008,Blue,46017.32,New Jersey
YV440MBD4F1303405,Volkswagen,1999,Red,48555.47,Texas
WUALNAFG1EN140063,Subaru,1990,Turquoise,60872.45,Texas
JH4KB16508C340964,Volvo,2011,Aquamarine,79443.00,California
JH4CU2E65AC985095,Pontiac,1988,Orange,32681.63,Colorado
WBAXG5C54CD330412,Subaru,1993,Mauv,26509.65,California
1FTNS2EWXAD061324,Ford,1991,Maroon,32368.00,Texas
1HGCR6F5XFA391249,Isuzu,1997,Green,77032.41,Arizona
3N1CN7APXEL567378,Maserati,1991,Pink,77752.44,Maryland
WBADW3C58DE858024,Mitsubishi,1992,Crimson,67227.73,Texas
SCFAD02A45G102433,Ford,1996,Violet,34044.08,New York
1GYS3KEF0BR316256,Ford,2002,Puce,76538.99,Illinois
KL4CJFSB1FB642245,Ford,1984,Indigo,77679.71,Washington
3C6TD4HT0CG619129,Mazda,2012,Crimson,42114.88,Kansas
YV1672MK3A2230676,Mitsubishi,2009,Pink,40570.08,Tennessee
1GD220CG8CZ926248,GMC,2011,Crimson,20435.76,District of Columbia
4JGCB2FE2AA655421,Ford,1992,Goldenrod,59456.95,Virginia
WAUAFAFL7BN062296,Chrysler,2004,Puce,20173.94,Texas
1FTEX1EW9AK666202,Ford,2001,Red,59634.70,Washington
SCBCR73W77C232974,Dodge,1996,Mauv,40608.61,California
1FTWX3D52AE977686,Chevrolet,2010,Teal,42996.34,Washington
1FTEX1C88AK754761,Buick,2005,Goldenrod,63342.40,Oklahoma
JTDKN3DPXC3526884,Acura,1997,Blue,68655.83,Utah
2C3CDXHG4FH135065,Hummer,2009,Khaki,22890.71,Pennsylvania
WAUEFAFL5DN633868,Dodge,2010,Orange,38881.31,California
1G6DM5ED6B0822869,Chevrolet,2005,Goldenrod,76384.01,Texas
SAJWA0FA7AH514844,Mazda,2003,Khaki,70633.66,Louisiana
WAUAC48H95K605110,Suzuki,1986,Turquoise,62627.94,District of Columbia
WAUGL78E45A274055,Plymouth,1998,Purple,35727.57,Kansas
1GYS3BKJXFR620824,Suzuki,1985,Pink,39932.07,Oklahoma
1G6AP5SX7E0355183,Chevrolet,2008,Blue,22189.00,Florida
5YMGZ0C57DL005865,Ford,2012,Puce,37403.15,Alabama
SCBLC31E81C713876,Volkswagen,1993,Maroon,38438.82,District of Columbia
WAUVC68E52A611457,Ford,1992,Green,23896.89,Wisconsin
1G6KD57Y79U728459,Chevrolet,2002,Yellow,66813.22,Minnesota
WBA5M2C56ED477817,Buick,1990,Orange,22911.08,Virginia
TRUWX28N011427312,Ford,1996,Indigo,73251.37,District of Columbia
4T1BF1FKXCU868277,Mazda,2003,Mauv,28020.63,Florida
1FTEW1CM2EF129478,Lexus,1993,Maroon,29674.47,Indiana
5NPET4AC8AH053806,Eagle,1994,Khaki,49504.17,Louisiana
JTEBU5JR1B5947010,Pontiac,1983,Aquamarine,56023.85,Virginia
JHMZE2H33CS513902,Kia,2001,Maroon,69346.74,New York
WBADN63463G177178,Infiniti,2011,Red,57331.77,Virginia
2D4RN4DE5AR925115,Saab,2010,Khaki,73609.65,Alabama
WBA6B4C5XED825561,Isuzu,2007,Pink,52064.06,Florida
KNALU4D45F6517433,Chevrolet,2007,Teal,74648.65,Maryland
JTEBU5JR5F5281694,Lexus,1998,Maroon,71938.28,Florida
1G6AT5S33E0585537,Mazda,1997,Fuscia,30518.34,Connecticut
2C3CDXGJ9DH827915,BMW,2006,Puce,65357.53,Arizona
JHMFA3F27AS876571,Isuzu,2004,Crimson,20440.99,Texas
WBAAN37401N455299,Pontiac,1968,Teal,73420.98,Connecticut
WBAUU3C50BA021441,GMC,1993,Blue,72416.29,Georgia
1G6DG5E58C0455622,Mercedes-Benz,1992,Maroon,32203.80,Wisconsin
TRUB3AFK3C1230537,Nissan,2009,Aquamarine,76520.98,California
WBA3B1C52FP022292,Porsche,1988,Yellow,21872.93,Pennsylvania
1G6DA5EY1B0636426,Mercedes-Benz,2009,Puce,58827.83,Wisconsin
5J8TB3H53DL695220,Chevrolet,2007,Orange,46953.92,North Carolina
WBANW5C56AC080717,Ford,2010,Khaki,41494.83,Alabama
SCBLF34F93C706921,Mitsubishi,1988,Orange,52677.69,California
1VWAH7A39EC460999,Ford,1993,Yellow,29303.11,Texas
1C3CC4FB6AN181764,Dodge,1992,Turquoise,75487.77,Wisconsin
1G4GB5GR6CF181886,Hyundai,1997,Fuscia,61271.45,Colorado
WP1AE2A21EL079651,Lexus,2010,Purple,23817.40,Florida
KMHGN4JEXFU352906,Honda,1995,Pink,77050.97,Kansas
WAURMAFD1EN045242,Lincoln,2002,Pink,65057.08,Texas
WBAVA33528K758219,Honda,1996,Pink,60623.39,Texas
WBA3T7C54FP082347,Ford,2007,Maroon,36234.50,Texas
WDCGG5GB3AF368647,Toyota,1994,Violet,75388.07,District of Columbia
JH4CL95864C592398,Mitsubishi,2009,Purple,70459.25,Texas
3VWKX7AJ7AM022612,Cadillac,1996,Violet,57311.36,California
WAU3VAFR6BA676120,Volkswagen,1997,Mauv,23652.13,Indiana
1G6AB5RX0D0009821,Audi,2003,Blue,75939.51,Kentucky
3C3CFFCR4FT097440,Buick,1990,Violet,50496.69,Oregon
WAUHF78P57A901281,Lamborghini,1990,Yellow,28652.44,California
1FTSS3EL4AD530888,GMC,1992,Turquoise,53048.74,Texas
3VW4A7AT3CM634983,Mitsubishi,1996,Indigo,45434.56,Illinois
4USBU53558L086105,Chevrolet,2008,Red,32676.82,Nebraska
3D7TT2CT1BG306070,Honda,2012,Puce,71548.89,California
1N6AA0CC7CN004543,Mazda,1992,Aquamarine,60883.78,North Carolina
3D73Y3HL5BG369172,Acura,2010,Yellow,61135.67,Colorado
JN8AZ2KR7DT215305,Mercedes-Benz,1992,Indigo,47663.65,Texas
SCBZK22E81C990467,Mercury,2005,Fuscia,73807.52,Texas
3C4PDDDG8DT995900,Chrysler,1995,Yellow,48845.32,Louisiana
5UXWX7C57E0243977,Nissan,2012,Pink,44894.61,Texas
WA1VMAFE4CD743948,Mitsubishi,1992,Mauv,40056.83,Texas
YV4852CZ9B1228311,Audi,1987,Maroon,69485.73,Colorado
WBAYF8C56FD928725,Mitsubishi,2012,Puce,64574.16,Wisconsin
WVWAA7AJ5CW198013,Dodge,1998,Aquamarine,40439.79,Florida
KMHTC6AD9EU967002,Dodge,2004,Blue,63584.51,Indiana
WAUEF78EX7A556461,Lexus,1992,Violet,21841.25,Kansas
KMHFG4JG3EA165420,Volkswagen,2002,Pink,70840.91,California
19UUA56862A767858,Toyota,1992,Red,75464.14,Louisiana
YV1672MS1B2663737,Maybach,2003,Yellow,28214.75,Oregon
WBAWL1C59AP263320,Mazda,1989,Teal,53099.85,Georgia
KNAFK4A62F5711349,Mercedes-Benz,2011,Puce,40271.92,Texas
WBAHL03596D337783,Porsche,1988,Fuscia,40234.48,Georgia
5TDBCRFH4FS980498,Geo,1997,Puce,78886.33,Michigan
3VW217AU7FM267588,Isuzu,2000,Yellow,28421.33,Florida
SCFEDCAD9AG115106,Buick,2005,Khaki,33495.77,Texas
WA1EY74L27D976502,Chrysler,1994,Orange,70429.20,Texas
4JGBB9FB2BA410713,Honda,1998,Indigo,65497.00,California
JH4CU4F41BC317451,Ford,1986,Mauv,78582.22,Minnesota
WDDGF4HB5DF167831,BMW,2006,Maroon,32566.72,New York
KM8JT3AC5AU721653,Chevrolet,1972,Yellow,24905.54,Georgia
2C3CDXJG2FH084398,GMC,2001,Purple,78354.36,District of Columbia
1GYEC63868R261880,Cadillac,2011,Goldenrod,26571.75,Kentucky
WA1WMBFE2AD617028,Audi,1993,Yellow,39055.49,Maryland
SALVP2BG2FH793215,Ferrari,2006,Pink,44411.52,Oregon
1C6RD6FP9CS952725,Chevrolet,1993,Green,51336.49,Minnesota
JA32U2FUXFU917885,Buick,1989,Fuscia,59944.70,Delaware
WBADW3C50CE012033,Mercedes-Benz,1998,Fuscia,76087.60,Indiana
1N6AF0LY2FN761772,Pontiac,1984,Orange,23193.64,Texas
19UUA8F23EA350201,Lincoln,2011,Orange,45750.63,Michigan
2T1BU4EE2DC183311,Suzuki,1995,Pink,37937.90,Texas
1G6DE8EG7A0950318,GMC,1998,Teal,21355.21,District of Columbia
SAJWA0FB5BL571499,Dodge,1999,Purple,28093.27,Texas
WDDEJ9EBXDA976939,Holden,1995,Green,77795.89,California
JN8AZ2KR5CT211199,Kia,2006,Indigo,59854.00,Alabama
1G6AE1R31F0083507,GMC,2006,Green,25100.75,Georgia
JH4DB85941S255269,Buick,2001,Blue,59534.57,California
WBADW3C50DJ208966,Ford,2009,Fuscia,73508.58,Kansas
5J6TF1H52DL395055,Buick,1992,Yellow,50913.05,Colorado
JM1DE1HY6B0855484,Mercury,1994,Pink,74397.01,California
JN1CV6FE0CM522681,Subaru,2002,Mauv,30536.77,California
WVGDF9BP3ED325154,Saab,2006,Violet,76467.51,Ohio
2HNYD18624H858409,Chevrolet,2011,Maroon,46848.52,Illinois
JTMHY7AJ2D4894027,Lexus,2000,Aquamarine,48949.97,Florida
1D4PU2GK9AW777946,Mazda,2008,Aquamarine,53286.34,District of Columbia
WDDJK7DA9FF774270,BMW,2011,Crimson,69657.34,Indiana
2HNYD18764H682425,Geo,1994,Khaki,56733.85,Alaska
1FTEX1CW4AK386819,Nissan,1997,Mauv,41072.53,Colorado
5UXFG2C55E0315424,Toyota,1984,Green,65128.83,Texas
4T1BF3EK2AU713331,Audi,2001,Blue,33604.60,Virginia
WBABN53473J794416,Volvo,2011,Orange,71771.82,Florida
WBXPC93547W537255,Honda,2006,Red,24911.64,Georgia
WBADT33451G947579,Volkswagen,1996,Crimson,66564.39,Florida
WBA1J9C52FV728215,Kia,2012,Blue,48490.12,Texas
1NXBU4EEXAZ865959,Mazda,1996,Purple,61990.55,Illinois
KNADH4A31A6587119,Mercury,2005,Purple,71985.09,Texas
JTDKTUD37ED991919,Porsche,1991,Maroon,54091.04,Colorado
WBAAW33481E349881,Dodge,1998,Green,79692.56,Virginia
WBA6B8C55FD055018,Subaru,2006,Mauv,44791.32,Florida
WAULT58E95A420937,Lincoln,1999,Maroon,38985.28,New York
WAUBFAFL1EA699958,Land Rover,1999,Blue,73976.09,Colorado
1G4HR54K21U271407,Ford,1993,Pink,75452.90,Arizona
3D73M4EL5AG911911,Mazda,1994,Green,77854.74,California
JHMZE2H32BS337889,Mercury,1984,Turquoise,40665.80,Nevada
WVWED7AJ8BW750188,Chevrolet,1995,Fuscia,35749.86,Texas
1G6DP577860405919,Hyundai,1995,Indigo,31552.69,Kentucky
5UXWX9C52DL557285,Ford,1997,Purple,74400.66,North Carolina
WAUDF78E07A616128,Dodge,1994,Mauv,50154.44,Oklahoma
JN1AY1AR3CM743199,Hyundai,2007,Turquoise,73975.95,Oregon
1LNHL9DK1EG482305,GMC,1992,Blue,77816.06,Indiana
WAUVC58E23A740476,Jaguar,2005,Teal,48144.55,Kansas
19VDE1F51EE645999,Lincoln,2006,Violet,68422.14,California
JTEBU4BF7BK668757,Ford,2013,Crimson,60679.05,Iowa
WBACN33461L569754,Rolls-Royce,2005,Orange,47534.79,Texas
1G6AB5RA7F0883534,Nissan,2005,Pink,23558.00,Minnesota
SCFBB04B17G394108,Chrysler,2000,Red,61434.29,Connecticut
WBSBR93405P033962,Ferrari,2010,Teal,23326.95,Washington
WAUKH68D41A206393,Subaru,2013,Aquamarine,65121.69,Nebraska
19UYA42763A128132,Honda,2009,Yellow,68413.53,North Carolina
YV4902BZ7B1833674,Toyota,1996,Goldenrod,64443.83,Minnesota
1FMEU5DE8AU277110,Pontiac,1998,Teal,69890.05,Florida
1D7RB1CT3AS058225,Dodge,1994,Aquamarine,23224.65,New York
3D73Y3CL5BG332193,Mercedes-Benz,2007,Puce,63341.92,Alabama
WAUMFBFL6DN452232,Chevrolet,1999,Teal,54658.55,California
1GD12ZCG1CF610384,Chevrolet,1977,Goldenrod,24629.94,Alabama
1G4GC5EC2BF538779,Chevrolet,2006,Mauv,58528.00,New Hampshire
1G4PT5SV6F4123116,Audi,2008,Goldenrod,76522.81,Oklahoma
WBAYB6C54FD495230,Mitsubishi,1992,Red,48833.54,South Carolina
WAUMFBFL1DN983807,Spyker,2004,Green,44566.54,Alaska
1GYS4AEF7CR988503,Mitsubishi,1987,Violet,51176.95,California
2G4WS52JX11386547,Chevrolet,1993,Yellow,52431.65,Tennessee
WAUJF78K59N174905,Cadillac,2004,Yellow,41961.14,Maryland
WBAPH57509N676225,Honda,2004,Khaki,73269.96,Florida
5GADX23L25D346910,Mazda,1988,Puce,44854.78,Maryland
WAUMK78K79N510093,Mercedes-Benz,2010,Goldenrod,78346.02,California
KMHHT6KD3DU599967,Daewoo,2000,Purple,72660.95,California
1FTWX3B58AE416153,BMW,2004,Yellow,70958.18,Arizona
WBABS53452J212434,Porsche,2002,Teal,67765.26,New York
KNAFU6A28D5912804,BMW,1998,Puce,26798.50,Alabama
WA1LFAFP7CA850688,Pontiac,1999,Khaki,50061.33,Texas
1FTEW1CM8EF948205,BMW,2000,Teal,32814.37,Pennsylvania
WAUUL58E15A797511,Chevrolet,1995,Turquoise,64033.38,Oklahoma
WAUEF78E86A667931,Nissan,2002,Blue,53855.60,Texas
1G6AM5S36E0382901,Audi,2007,Green,51746.05,California
ZFBCFADH8FZ427886,Porsche,2001,Maroon,37031.87,Colorado
1G6KD57909U757603,Dodge,1993,Puce,36529.35,Colorado
JM1GJ1U54F1944152,Dodge,1999,Violet,63663.54,South Carolina
KMHGN4JE2FU545700,Toyota,1996,Puce,59257.16,Illinois
1N4AL2AP9CN216588,Audi,2001,Indigo,59569.81,Texas
3D7JV1EP7BG508861,Nissan,2008,Yellow,34997.32,Connecticut
JN1BY1PP6FM150337,Rolls-Royce,2011,Pink,72425.78,Illinois
WP0AA2A92CS378923,Subaru,2001,Fuscia,31339.04,Arkansas
3D7LP2ET2AG476244,Audi,2006,Goldenrod,74179.33,Colorado
WBAEH13406C386149,Chevrolet,1997,Red,77904.17,Illinois
1D7CE5GK9AS519238,Buick,1990,Indigo,71447.10,California
KMHCM3AC5BU350372,GMC,1992,Red,47265.37,Indiana
1FTKR1ADXBP464250,Ford,1998,Fuscia,53924.25,Virginia
5TDDCRFH6FS581701,Lexus,2012,Mauv,36272.35,California
1G4GA5EC8AF285830,Volkswagen,1997,Fuscia,41393.21,Texas
1GKUCFDJ2AR592176,Suzuki,2004,Mauv,78031.59,Mississippi
WBABN53432P104348,MINI,2010,Pink,65252.07,South Dakota
WAUFFAFL7FA906596,Bentley,2008,Crimson,58412.62,Florida
2G4WD582681310585,Oldsmobile,1997,Purple,71049.90,Illinois
WBAUL73539V123040,Nissan,1993,Orange,34835.77,Indiana
3VW4A7AT3CM051944,Buick,1991,Blue,24641.01,Indiana
SALFR2BN2CH017899,Porsche,1995,Fuscia,47435.08,District of Columbia
WBAKA4C59CD452267,Mercedes-Benz,1986,Goldenrod,28074.72,Ohio
1C4SDHCT0CC381921,Saab,2005,Turquoise,29798.42,Tennessee
5N1AA0ND1FN164913,BMW,2001,Red,73193.20,Florida
19XFA1F37BE480448,Ford,1966,Yellow,65818.95,California
5J6TF2H50FL620551,Ford,2008,Violet,21099.48,Alabama
SALAK2V63FA291841,Cadillac,2011,Crimson,68799.62,Pennsylvania
WAUSH78E68A203018,Volvo,2011,Pink,51287.29,Pennsylvania
WAUFMAFC2FN380649,Chevrolet,2001,Crimson,42106.61,Texas
1G6DF5E54C0289814,Audi,1997,Turquoise,63994.36,Ohio
JN1CV6AR1FM797698,Mazda,1997,Puce,57463.83,Maryland
1N6AA0CH7FN023500,Mercedes-Benz,2011,Khaki,26354.30,California
5LMJJ2H55AE269492,Volkswagen,2006,Puce,30815.45,Minnesota
WVGEF9BP9FD707372,GMC,1997,Crimson,31884.24,Texas
19UUA756X8A171589,Jeep,2000,Crimson,60600.17,California
1GYS4EEJ8CR993253,Toyota,2011,Goldenrod,45472.49,Nevada
JH4NA126X2T386016,Audi,2008,Turquoise,57162.03,District of Columbia
WBA3B3C58FF087052,Dodge,1992,Maroon,37906.06,Florida
5LMJJ3H52CE618147,Infiniti,2002,Fuscia,52971.56,California
5J8TB18277A067087,Mercedes-Benz,2008,Pink,36384.47,Texas
