id,gender,school,state
68,Male,Middle school,Virginia
69,Male,Technical college,South Dakota
70,Female,Corporate university,Montana
71,Female,University college,Florida
72,Female,University college,Wisconsin
73,Male,Gymnasium,North Dakota
74,Male,Graduate school,Tennessee
75,Female,High school,New York
76,Female,Middle school,Tennessee
77,Male,Technical college,Nebraska
78,Male,Junior college,California
79,Male,Middle school,Idaho
80,Male,High school,West Virginia
81,Male,Middle school,California
82,Female,Gymnasium,Connecticut
83,Female,Gymnasium,Hawaii
84,Female,University-preparatory school,West Virginia
85,Female,Gymnasium,Hawaii
86,Male,Junior college,Montana
87,Male,Gymnasium,Connecticut
88,Male,Corporate university,Mississippi
89,Female,Junior college,Massachussets
90,Female,High school,Kentucky
91,Male,Corporate university,North Dakota
92,Male,High school,Pennsylvania
93,Male,University college,New Mexico
94,Male,Graduate school,Wisconsin
95,Male,Middle school,Delaware
96,Female,Middle school,Nevada
97,Male,University college,Idaho
98,Male,Gymnasium,New Jersey
99,Male,Public university,Connecticut
100,Female,Corporate university,Colorado
101,Male,University-preparatory school,Minnesota
102,Female,University-preparatory school,Massachussets
103,Male,High school,Idaho
104,Female,Technical college,Rhode Island
105,Male,University-preparatory school,Indiana
106,Female,University-preparatory school,Colorado
107,Female,University-preparatory school,New Jersey
108,Male,University college,Alabama
109,Male,Gymnasium,Florida
110,Female,University-preparatory school,Montana
111,Female,Corporate university,Wyoming
112,Male,Middle school,Connecticut
113,Male,Technical college,South Carolina
114,Female,Junior college,Iowa
115,Female,High school,Arkansas
116,Male,Junior college,Alaska
117,Male,University college,Hawaii
118,Male,Technical college,Indiana
119,Female,University college,Maryland
120,Male,Technical college,Oregon
121,Female,Public university,Kentucky
122,Male,University college,Kentucky
123,Female,High school,Idaho
124,Male,Junior college,California
125,Female,Technical college,Arkansas
126,Female,Technical college,North Carolina
127,Female,Public university,Alaska
128,Male,High school,South Dakota
129,Male,Gymnasium,Arkansas
130,Female,Middle school,Montana
131,Male,Middle school,Connecticut
132,Female,Middle school,Rhode Island
133,Male,Junior college,Kansas
134,Male,Technical college,Louisiana
135,Male,University college,Illinois
136,Male,Gymnasium,Rhode Island
137,Female,Technical college,Massachussets
138,Female,Gymnasium,Illinois
139,Male,Gymnasium,Rhode Island
140,Male,Corporate university,South Carolina
141,Female,Technical college,North Dakota
142,Female,Middle school,Colorado
143,Female,University-preparatory school,Ohio
144,Male,Technical college,South Dakota
145,Male,University-preparatory school,New Jersey
146,Female,Public university,Maryland
147,Male,Junior college,Maryland
148,Female,Gymnasium,North Dakota
149,Female,High school,Maryland
150,Female,Corporate university,Idaho
151,Male,University-preparatory school,Montana
152,Male,High school,Arkansas
153,Female,Technical college,Oregon
154,Female,University college,Wisconsin
155,Female,High school,Alabama
156,Female,High school,New Hampshire
157,Female,Middle school,Idaho
158,Female,High school,California
159,Male,Junior college,Florida
160,Female,Gymnasium,Delaware
161,Male,Junior college,Pennsylvania
162,Female,University-preparatory school,Mississippi
163,Female,Gymnasium,Texas
164,Female,Corporate university,South Carolina
165,Female,University-preparatory school,Kansas
166,Male,Junior college,New Jersey
167,Male,Corporate university,New Hampshire
168,Male,Technical college,Kansas
169,Male,University college,Alabama
170,Female,Gymnasium,Washington
171,Female,Technical college,Idaho
172,Male,Junior college,Alabama
173,Male,Public university,North Dakota
174,Male,Public university,Kansas
175,Female,Technical college,Vermont
176,Female,Junior college,Rhode Island
177,Male,Public university,Maine
178,Female,High school,Massachussets
179,Female,University college,Minnesota
180,Female,Graduate school,Maryland
181,Female,Graduate school,Georgia
182,Female,Middle school,Alaska
183,Female,Graduate school,Maine
184,Female,Gymnasium,Michigan
185,Male,Technical college,Kentucky
186,Female,Middle school,Missouri
187,Male,University-preparatory school,Washington
188,Male,High school,Colorado
189,Male,Public university,North Carolina
190,Male,Corporate university,Rhode Island
191,Male,Gymnasium,Pennsylvania
192,Female,Public university,Colorado
193,Male,University college,Mississippi
194,Male,University college,California
195,Male,Public university,Connecticut
196,Female,Public university,South Dakota
197,Female,Junior college,Minnesota
198,Female,High school,Vermont
199,Female,High school,New Hampshire
200,Male,Public university,West Virginia
201,Male,Technical college,North Dakota
202,Male,Gymnasium,Wisconsin
203,Male,Gymnasium,Wisconsin
204,Male,Gymnasium,Arizona
205,Female,Middle school,North Carolina
206,Male,Gymnasium,Iowa
207,Female,Public university,Louisiana
208,Male,Public university,Wisconsin
209,Male,University-preparatory school,Kansas
210,Male,University college,Tennessee
211,Male,Junior college,Missouri
212,Female,University-preparatory school,Minnesota
213,Female,Junior college,Massachussets
214,Male,University college,North Carolina
215,Male,Public university,Kansas
216,Male,University-preparatory school,New York
217,Male,Public university,South Carolina
218,Female,University college,Georgia
219,Male,High school,Alabama
220,Female,Corporate university,Texas
221,Female,Technical college,Indiana
222,Female,Corporate university,Arkansas
223,Female,Middle school,Alaska
224,Female,Middle school,Texas
225,Male,Public university,Wyoming
226,Male,Technical college,Georgia
227,Female,Middle school,South Dakota
228,Male,Middle school,Idaho
229,Female,University college,Tennessee
230,Male,University college,Idaho
231,Female,Technical college,Hawaii
232,Female,Graduate school,South Carolina
233,Female,Corporate university,Kansas
234,Female,Junior college,Nebraska
235,Female,Junior college,Nevada
236,Male,Gymnasium,Ohio
237,Female,Middle school,Nevada
238,Male,Public university,Washington
239,Female,Technical college,Kansas
240,Female,Middle school,Nevada
241,Male,Corporate university,Maine
242,Female,Graduate school,Rhode Island
243,Female,Graduate school,Illinois
244,Female,University college,Georgia
245,Female,High school,Nevada
246,Female,University college,West Virginia
247,Male,University college,Kentucky
248,Female,University college,Pennsylvania
249,Female,Public university,New Hampshire
250,Female,University college,Vermont
251,Female,Technical college,Arkansas
252,Male,University college,Minnesota
253,Female,University-preparatory school,Pennsylvania
254,Female,Junior college,Missouri
255,Male,University college,Rhode Island
256,Male,Graduate school,Wisconsin
257,Male,Junior college,Utah
258,Male,Corporate university,Rhode Island
259,Male,Graduate school,Virginia
260,Female,Gymnasium,Alaska
261,Male,Junior college,Missouri
262,Male,Middle school,Missouri
263,Male,University college,Indiana
264,Male,Public university,Montana
265,Male,High school,Arkansas
266,Female,Junior college,Louisiana
267,Female,Gymnasium,Missouri
268,Female,Middle school,New Jersey
269,Female,High school,Mississippi
270,Female,University-preparatory school,Delaware
271,Female,Technical college,South Dakota
272,Female,Gymnasium,Oklahoma
273,Male,University-preparatory school,Oregon
274,Male,University college,Oregon
275,Male,Middle school,North Dakota
276,Male,Gymnasium,New York
277,Female,University college,Mississippi
278,Male,Middle school,Kentucky
279,Male,Technical college,Louisiana
280,Female,Corporate university,West Virginia
281,Male,University college,New York
282,Male,Public university,Iowa
283,Female,University college,Michigan
284,Male,Graduate school,Massachussets
285,Male,Gymnasium,Tennessee
286,Female,High school,Vermont
287,Female,University-preparatory school,Alabama
288,Male,Junior college,Georgia
289,Female,Graduate school,Nevada
290,Female,University-preparatory school,Iowa
291,Male,Middle school,South Dakota
292,Male,Graduate school,Florida
293,Female,Corporate university,Florida
294,Female,Gymnasium,New Jersey
295,Male,Public university,Montana
296,Male,Public university,New Hampshire
297,Female,Middle school,North Dakota
298,Male,Technical college,Wisconsin
299,Female,University-preparatory school,Minnesota
300,Female,Public university,West Virginia
301,Male,Public university,Oklahoma
302,Male,University college,Washington
303,Female,Corporate university,Hawaii
304,Male,Junior college,Pennsylvania
305,Male,Technical college,West Virginia
306,Female,Gymnasium,Missouri
307,Male,Gymnasium,Arizona
308,Male,University college,Maryland
309,Male,Technical college,New Mexico
310,Female,High school,Montana
311,Male,Middle school,North Carolina
312,Female,Junior college,Mississippi
313,Female,University college,Ohio
314,Female,University college,Iowa
315,Female,Corporate university,Kentucky
316,Male,Technical college,Georgia
317,Female,University-preparatory school,Wisconsin
318,Female,Technical college,Georgia
319,Male,University-preparatory school,Nebraska
320,Female,Corporate university,South Carolina
321,Female,University college,North Carolina
322,Male,Public university,Massachussets
323,Female,Technical college,Hawaii
324,Male,Public university,Missouri
325,Male,Technical college,Idaho
326,Male,Junior college,New Hampshire
327,Male,Technical college,Arizona
328,Female,University-preparatory school,Michigan
329,Male,Public university,Kentucky
330,Female,University-preparatory school,Michigan
331,Female,Gymnasium,Minnesota
332,Male,University-preparatory school,New Mexico
333,Female,Junior college,South Carolina
334,Male,Technical college,New York
335,Female,University-preparatory school,Idaho
336,Male,Technical college,Illinois
337,Female,Corporate university,Ohio
338,Male,University college,Illinois
339,Female,University college,Montana
340,Female,Corporate university,Virginia
341,Female,Public university,South Dakota
342,Female,Public university,Ohio
343,Male,Junior college,Virginia
344,Female,Public university,New Hampshire
345,Female,Junior college,Utah
346,Male,High school,Louisiana
347,Male,Public university,Nebraska
348,Male,Technical college,Texas
349,Female,Technical college,North Carolina
350,Female,Graduate school,Mississippi
351,Female,University college,Rhode Island
352,Female,Graduate school,New Hampshire
353,Male,Junior college,Connecticut
354,Female,University-preparatory school,Georgia
355,Female,Technical college,Maine
356,Female,Graduate school,Vermont
357,Male,High school,Alaska
358,Male,Public university,West Virginia
359,Female,Technical college,Washington
360,Male,University-preparatory school,Nebraska
361,Male,Technical college,Wyoming
362,Male,Junior college,Arizona
363,Female,University-preparatory school,Arkansas
364,Male,University-preparatory school,Mississippi
365,Female,Junior college,Alabama
366,Female,Graduate school,Illinois
367,Male,Technical college,Washington
368,Female,Middle school,Michigan
369,Male,High school,West Virginia
370,Female,Middle school,Alaska
371,Male,University-preparatory school,Illinois
372,Female,Middle school,Michigan
373,Male,Gymnasium,Delaware
374,Male,Technical college,Florida
375,Female,University college,Missouri
376,Male,Middle school,Oklahoma
377,Male,Graduate school,California
378,Female,University college,Massachussets
379,Female,University-preparatory school,Nevada
380,Female,Junior college,Wyoming
381,Female,Junior college,New Mexico
382,Male,Public university,Oklahoma
383,Female,Gymnasium,Louisiana
384,Male,University college,Arkansas
385,Male,Public university,West Virginia
386,Female,Corporate university,Tennessee
387,Male,Gymnasium,Louisiana
388,Male,Junior college,California
389,Male,Corporate university,Illinois
390,Male,Corporate university,Arkansas
391,Female,Junior college,Pennsylvania
392,Female,Junior college,Wyoming
393,Male,Corporate university,Wisconsin
394,Male,Graduate school,South Carolina
395,Female,Technical college,Ohio
396,Male,University college,Missouri
397,Female,Gymnasium,Idaho
398,Female,Junior college,Maine
399,Female,Graduate school,New Mexico
400,Male,Graduate school,Alaska
401,Female,Gymnasium,Massachussets
402,Male,Corporate university,Michigan
403,Female,Corporate university,North Dakota
404,Female,University-preparatory school,Florida
405,Female,Graduate school,California
406,Female,Gymnasium,Utah
407,Male,Middle school,Arkansas
408,Female,Graduate school,Delaware
409,Male,Gymnasium,Missouri
410,Male,Junior college,New Hampshire
411,Female,High school,Kansas
412,Female,Corporate university,Idaho
413,Female,Public university,Colorado
414,Male,Gymnasium,Delaware
415,Female,Corporate university,Wisconsin
416,Female,Junior college,Nevada
417,Female,Public university,New York
418,Female,Middle school,Mississippi
419,Female,University-preparatory school,Oklahoma
420,Male,Graduate school,Utah
421,Female,Public university,Washington
422,Female,University-preparatory school,Illinois
423,Male,Junior college,Maryland
424,Female,Middle school,Iowa
425,Female,Middle school,Hawaii
426,Male,Graduate school,North Carolina
427,Female,Junior college,Wisconsin
428,Male,Gymnasium,Arkansas
429,Female,University-preparatory school,Vermont
430,Male,University-preparatory school,Florida
431,Male,Junior college,Nevada
432,Female,University college,Virginia
433,Male,High school,Hawaii
434,Male,Corporate university,Oregon
435,Female,Public university,Oklahoma
436,Female,University-preparatory school,North Dakota
437,Male,Graduate school,Rhode Island
438,Male,High school,North Dakota
439,Female,High school,New Jersey
440,Female,Graduate school,Alaska
441,Female,High school,Arizona
442,Male,Junior college,Rhode Island
443,Male,University-preparatory school,Texas
444,Female,Public university,Minnesota
445,Male,Technical college,Nevada
446,Female,University-preparatory school,Vermont
447,Male,Junior college,Illinois
448,Male,High school,Michigan
449,Male,Middle school,Mississippi
450,Female,Corporate university,Louisiana
451,Female,University college,Mississippi
452,Male,Public university,Rhode Island
453,Male,Public university,Tennessee
454,Male,University-preparatory school,Kansas
455,Female,Public university,Maryland
456,Male,Graduate school,Illinois
457,Female,Technical college,Oregon
458,Female,Graduate school,West Virginia
459,Female,Graduate school,West Virginia
460,Female,Graduate school,Hawaii
461,Male,Graduate school,Kentucky
462,Female,Middle school,Kansas
463,Female,High school,Virginia
464,Male,University-preparatory school,Montana
465,Male,Junior college,Pennsylvania
466,Female,University college,Oklahoma
467,Male,Graduate school,New Hampshire
468,Female,Corporate university,Virginia
469,Female,University-preparatory school,Connecticut
470,Male,Junior college,Hawaii
471,Male,Graduate school,North Dakota
472,Female,Middle school,New Jersey
473,Male,Graduate school,South Dakota
474,Female,Junior college,Florida
475,Female,University-preparatory school,North Dakota
476,Female,Graduate school,Vermont
477,Female,High school,Idaho
478,Male,Graduate school,Texas
479,Male,Public university,Arkansas
480,Male,High school,New York
481,Female,Public university,Arizona
482,Female,Public university,Rhode Island
483,Male,University college,Iowa
484,Female,Technical college,New Mexico
485,Male,Junior college,Idaho
486,Female,Graduate school,Pennsylvania
487,Male,University college,Kentucky
488,Female,High school,Minnesota
489,Female,Public university,Michigan
490,Female,Graduate school,Alaska
491,Female,Gymnasium,Delaware
492,Female,Junior college,Texas
493,Female,Corporate university,Montana
494,Male,Middle school,Alaska
495,Male,University college,Nevada
496,Female,Junior college,Georgia
497,Male,Junior college,Kansas
498,Male,Public university,Michigan
499,Male,University college,Pennsylvania
500,Female,Middle school,Arizona
501,Male,Gymnasium,Maine
502,Male,Public university,Ohio
503,Male,Gymnasium,California
504,Male,Technical college,Iowa
505,Male,Middle school,North Carolina
506,Male,University college,Rhode Island
507,Male,Gymnasium,Delaware
508,Female,High school,Louisiana
509,Female,Public university,New York
510,Female,Technical college,Colorado
511,Female,Junior college,Illinois
512,Male,Gymnasium,Kentucky
513,Female,Junior college,Rhode Island
514,Female,Technical college,Mississippi
515,Female,Graduate school,Alabama
516,Male,Junior college,New Mexico
517,Male,Middle school,Pennsylvania
518,Female,High school,North Dakota
519,Female,High school,Nebraska
520,Female,Public university,New Mexico
521,Female,Public university,Georgia
522,Female,Junior college,North Carolina
523,Female,Middle school,Arkansas
524,Male,University-preparatory school,Montana
525,Male,Junior college,South Carolina
526,Male,Gymnasium,Minnesota
527,Male,Junior college,Georgia
528,Male,High school,Louisiana
529,Male,High school,Arkansas
530,Female,Junior college,South Dakota
531,Female,Middle school,Utah
532,Female,University college,North Carolina
533,Male,Technical college,Idaho
534,Male,University-preparatory school,Montana
535,Female,Junior college,Tennessee
536,Female,Junior college,Kansas
537,Male,Graduate school,Vermont
538,Female,Graduate school,Indiana
539,Female,Technical college,Iowa
540,Female,University-preparatory school,Illinois
541,Female,Gymnasium,Massachussets
542,Male,Graduate school,New Jersey
543,Female,Corporate university,New Jersey
544,Male,University-preparatory school,Georgia
545,Male,Gymnasium,Georgia
546,Female,University college,Mississippi
547,Female,Public university,Arkansas
548,Female,Middle school,Utah
549,Male,University college,Indiana
550,Female,Corporate university,Connecticut
551,Male,Technical college,Oregon
552,Male,Gymnasium,Pennsylvania
553,Male,Graduate school,Arkansas
554,Female,High school,Nebraska
555,Female,Corporate university,Utah
556,Male,Technical college,Wisconsin
557,Female,Public university,Michigan
558,Female,University college,Pennsylvania
559,Male,Public university,Hawaii
560,Male,Corporate university,Nevada
561,Female,High school,Maryland
562,Female,University-preparatory school,New Jersey
563,Male,Technical college,Connecticut
564,Male,University-preparatory school,Idaho
565,Male,Public university,Michigan
566,Male,High school,Illinois
567,Male,Public university,Pennsylvania
568,Male,Gymnasium,Rhode Island
569,Male,Technical college,South Dakota
570,Female,Public university,Illinois
571,Male,Public university,New Mexico
572,Male,Corporate university,South Carolina
573,Male,Gymnasium,North Carolina
574,Female,Middle school,Maine
575,Male,University college,West Virginia
576,Female,High school,California
577,Female,Technical college,Louisiana
578,Female,Technical college,Virginia
579,Female,Technical college,Kentucky
580,Male,Technical college,California
581,Female,University-preparatory school,Delaware
582,Female,Corporate university,Wisconsin
583,Male,Gymnasium,New York
584,Male,University college,Georgia
585,Male,Gymnasium,Iowa
586,Female,Junior college,Pennsylvania
587,Female,University-preparatory school,Oregon
588,Male,High school,Oklahoma
589,Female,Middle school,Tennessee
590,Female,Graduate school,Alaska
591,Female,High school,Utah
592,Female,Technical college,Georgia
593,Male,High school,Oregon
594,Male,Gymnasium,Virginia
595,Male,Corporate university,Hawaii
596,Male,High school,Oregon
597,Male,Graduate school,Colorado
598,Female,Middle school,Colorado
599,Male,University-preparatory school,Alabama
600,Female,High school,South Carolina
601,Female,Junior college,Connecticut
602,Male,Gymnasium,South Dakota
603,Male,High school,Kentucky
604,Female,Middle school,Michigan
605,Male,Corporate university,Iowa
606,Male,Graduate school,Rhode Island
607,Female,Technical college,Massachussets
608,Female,University-preparatory school,Alabama
609,Female,University college,New Mexico
610,Female,Public university,New Hampshire
611,Female,Corporate university,North Carolina
612,Female,Technical college,Delaware
613,Female,Gymnasium,Indiana
614,Male,Graduate school,North Dakota
615,Male,University-preparatory school,New York
616,Female,Junior college,Florida
617,Male,Public university,Utah
618,Male,University-preparatory school,Missouri
619,Female,Graduate school,Vermont
620,Male,University-preparatory school,Nebraska
621,Female,Gymnasium,Kentucky
622,Female,University-preparatory school,Idaho
623,Male,Gymnasium,West Virginia
624,Female,Middle school,Maine
625,Female,Gymnasium,New Jersey
626,Female,Corporate university,Mississippi
627,Female,Public university,Arizona
628,Female,University college,New Mexico
629,Male,Technical college,Connecticut
630,Female,Gymnasium,Arizona
631,Female,Junior college,Arkansas
632,Female,Gymnasium,West Virginia
633,Female,University-preparatory school,New Mexico
634,Female,Gymnasium,South Dakota
635,Male,University college,Nevada
636,Male,Gymnasium,Texas
637,Female,Public university,Connecticut
638,Male,Graduate school,Maryland
639,Male,University-preparatory school,Tennessee
640,Female,Corporate university,Arizona
641,Male,High school,Kansas
642,Female,University-preparatory school,Kentucky
643,Male,Graduate school,North Carolina
644,Female,Junior college,New Hampshire
645,Female,Public university,Washington
646,Male,Junior college,Washington
647,Male,Gymnasium,Idaho
648,Male,Corporate university,West Virginia
649,Female,Middle school,Oklahoma
650,Female,Junior college,South Dakota
651,Female,University college,Arkansas
652,Female,University-preparatory school,Missouri
653,Female,University college,Texas
654,Male,Public university,Texas
655,Female,Junior college,Tennessee
656,Female,Gymnasium,Washington
657,Female,Corporate university,New York
658,Male,Middle school,Utah
659,Female,Technical college,Iowa
660,Male,High school,Kansas
661,Female,Gymnasium,Wisconsin
662,Female,Technical college,Iowa
663,Female,University college,Utah
664,Female,High school,Utah
665,Male,Junior college,Louisiana
666,Female,Public university,Idaho
667,Male,Middle school,Kentucky
668,Male,Gymnasium,Maryland
669,Male,University college,Idaho
670,Male,University college,Utah
671,Male,Corporate university,Nebraska
672,Male,University-preparatory school,Maine
673,Male,Public university,Wyoming
674,Male,Middle school,Wisconsin
675,Female,Graduate school,Mississippi
676,Female,Graduate school,New Jersey
677,Female,Technical college,Hawaii
678,Female,Technical college,Nebraska
679,Female,Gymnasium,Idaho
680,Male,Middle school,New Jersey
681,Female,University college,Florida
682,Female,Technical college,Delaware
683,Female,Junior college,Montana
684,Female,Gymnasium,Mississippi
685,Male,Junior college,Washington
686,Male,High school,Tennessee
687,Male,Middle school,Alaska
688,Male,University-preparatory school,Mississippi
689,Male,Middle school,North Dakota
690,Female,Public university,Oregon
691,Male,University college,Maine
692,Female,Gymnasium,Indiana
693,Male,Junior college,Illinois
694,Male,Gymnasium,Rhode Island
695,Male,Junior college,Nevada
696,Female,Gymnasium,Indiana
697,Female,University-preparatory school,North Dakota
698,Male,High school,Wyoming
699,Male,Technical college,Idaho
700,Female,High school,California
701,Male,Technical college,Hawaii
702,Female,Corporate university,Wyoming
703,Male,High school,New Jersey
704,Female,Middle school,Maine
705,Male,Corporate university,Louisiana
706,Male,High school,Washington
707,Female,Corporate university,Maryland
708,Female,Graduate school,Tennessee
709,Male,Graduate school,Louisiana
710,Male,Technical college,Florida
711,Female,Junior college,Hawaii
712,Male,Public university,Nebraska
713,Male,University college,Texas
714,Female,University-preparatory school,Louisiana
715,Female,Public university,Oklahoma
716,Male,Corporate university,Georgia
717,Female,Graduate school,Texas
718,Male,High school,West Virginia
719,Male,Technical college,Louisiana
720,Female,Junior college,Wyoming
721,Female,Public university,Pennsylvania
722,Female,Middle school,Vermont
723,Female,University college,North Dakota
724,Female,University college,Tennessee
725,Male,Technical college,Pennsylvania
726,Female,Middle school,Alabama
727,Male,Junior college,Alaska
728,Female,Technical college,Oklahoma
729,Female,Corporate university,Arizona
730,Male,Graduate school,Arizona
731,Male,Public university,Indiana
732,Female,Public university,Montana
733,Male,Junior college,Mississippi
734,Female,Public university,Delaware
735,Male,Middle school,Minnesota
736,Female,Corporate university,Iowa
737,Female,Junior college,Iowa
738,Female,Junior college,Montana
739,Male,Graduate school,Maine
740,Female,Corporate university,Vermont
741,Male,University college,New Mexico
742,Male,Corporate university,Delaware
743,Male,Middle school,California
744,Male,University-preparatory school,Missouri
745,Female,Middle school,Missouri
746,Male,Graduate school,Alabama
747,Female,Technical college,Indiana
748,Male,University-preparatory school,Virginia
749,Female,University-preparatory school,Wyoming
750,Male,University-preparatory school,New Mexico
751,Female,Middle school,Hawaii
752,Male,Middle school,Washington
753,Male,Middle school,Montana
754,Female,Public university,Arkansas
755,Female,Gymnasium,Mississippi
756,Female,Corporate university,Wisconsin
757,Female,University college,Kansas
758,Male,University college,New Jersey
759,Male,Gymnasium,New Hampshire
760,Female,High school,Utah
761,Male,Graduate school,Nebraska
762,Female,Middle school,Colorado
763,Female,Junior college,California
764,Female,Technical college,North Carolina
765,Male,Junior college,North Dakota
766,Male,Technical college,Nebraska
767,Female,Technical college,Connecticut
768,Female,Graduate school,Nebraska
769,Female,Technical college,Utah
770,Male,Graduate school,Maryland
771,Female,Gymnasium,Connecticut
772,Male,Middle school,Maine
773,Female,Public university,Oregon
774,Male,University college,Utah
775,Female,Junior college,Nevada
776,Female,Junior college,Maryland
777,Female,University college,Arkansas
778,Female,University college,Hawaii
779,Female,Middle school,Nevada
780,Male,High school,Hawaii
781,Male,Gymnasium,Delaware
782,Male,Junior college,Alaska
783,Female,Gymnasium,Tennessee
784,Male,University-preparatory school,Wyoming
785,Female,University-preparatory school,South Carolina
786,Female,University college,Florida
787,Female,Gymnasium,Delaware
788,Male,University-preparatory school,Louisiana
789,Male,Gymnasium,Virginia
790,Male,Technical college,Wisconsin
791,Female,Middle school,Alaska
792,Female,University-preparatory school,New York
793,Male,Technical college,Wisconsin
794,Female,Junior college,Wyoming
795,Female,University-preparatory school,Delaware
796,Female,Graduate school,Indiana
797,Female,University college,Oregon
798,Female,University college,Illinois
799,Female,Technical college,Delaware
800,Male,Public university,Arizona
801,Male,Corporate university,Massachussets
802,Male,Technical college,Indiana
803,Female,Corporate university,Virginia
804,Male,Middle school,Montana
805,Female,Middle school,Delaware
806,Female,Corporate university,Texas
807,Male,Gymnasium,New Mexico
808,Male,Middle school,Wyoming
809,Male,Technical college,Washington
810,Female,Gymnasium,Washington
811,Female,Middle school,Arizona
812,Female,Junior college,Missouri
813,Female,Middle school,Kentucky
814,Male,Graduate school,California
815,Male,Public university,Indiana
816,Female,Junior college,New Mexico
817,Female,High school,Utah
818,Female,University college,New York
819,Male,Middle school,Maryland
820,Male,Technical college,Idaho
821,Male,Junior college,New Mexico
822,Male,High school,Nebraska
823,Male,Middle school,Virginia
824,Female,Gymnasium,Alaska
825,Female,Technical college,Kansas
826,Male,University-preparatory school,Mississippi
827,Male,Technical college,Delaware
828,Female,University college,Iowa
829,Male,Middle school,Montana
830,Male,University college,Virginia
831,Female,Public university,North Dakota
832,Female,Technical college,Oregon
833,Female,Junior college,Connecticut
834,Female,Middle school,Pennsylvania
835,Male,Corporate university,Texas
836,Female,Middle school,New Jersey
837,Male,Public university,Florida
838,Male,Middle school,Iowa
839,Male,Middle school,Virginia
840,Female,Junior college,Indiana
841,Male,Public university,Minnesota
842,Male,Middle school,Alaska
843,Female,High school,Idaho
844,Male,Public university,Maine
845,Male,Gymnasium,Wisconsin
846,Female,Corporate university,Kentucky
847,Female,Corporate university,New Jersey
848,Female,Public university,West Virginia
849,Female,University college,Indiana
850,Male,Technical college,California
851,Female,High school,Colorado
852,Male,Junior college,Alaska
853,Male,Junior college,South Carolina
854,Female,Technical college,Alabama
855,Female,Junior college,Wisconsin
856,Male,High school,Alabama
857,Female,Gymnasium,Georgia
858,Male,High school,Indiana
859,Male,High school,Virginia
860,Female,University-preparatory school,Massachussets
861,Male,University-preparatory school,Pennsylvania
862,Male,Public university,Washington
863,Male,Middle school,Nevada
864,Male,Graduate school,Delaware
865,Female,High school,Nevada
866,Male,Public university,North Carolina
867,Female,Gymnasium,Minnesota
868,Female,Graduate school,Oklahoma
869,Female,Public university,Nevada
870,Female,Corporate university,California
871,Female,Graduate school,New Jersey
872,Female,Public university,Mississippi
873,Female,Technical college,Louisiana
874,Male,Corporate university,Alaska
875,Female,University-preparatory school,Iowa
876,Male,Corporate university,Wisconsin
877,Male,Corporate university,South Dakota
878,Female,Technical college,Missouri
879,Male,Technical college,Alaska
880,Female,Gymnasium,Alabama
881,Female,University college,West Virginia
882,Female,Public university,Minnesota
883,Male,University-preparatory school,West Virginia
884,Male,Junior college,Michigan
885,Female,Corporate university,Massachussets
886,Female,Graduate school,North Carolina
887,Female,Junior college,Maine
888,Female,Gymnasium,Indiana
889,Female,University college,North Carolina
890,Male,University-preparatory school,New Jersey
891,Male,Middle school,South Dakota
892,Female,Corporate university,Tennessee
893,Male,Public university,Florida
894,Male,Technical college,Alaska
895,Male,Graduate school,Illinois
896,Male,Junior college,Wisconsin
897,Female,Gymnasium,Utah
